Batch	Sample	Area	subpic
1	13	1.24E-01	1
1	13	1.10E-01	1
1	13	3.79E-02	1
1	13	2.22E-02	1
1	13	2.06E-02	1
1	13	1.13E-02	1
1	14	1.99E-01	1
1	14	4.32E-03	1
1	14	1.01E-02	1
1	15	5.08E-01	1
1	15	9.87E-03	1
1	16	1.10E-02	1
1	16	2.22E-02	1
1	16	8.80E-03	1
1	17	3.15E-02	1
1	17	1.65E-02	1
1	17	5.16E-02	1
1	17	8.41E-03	1
1	17	4.54E-02	1
1	17	2.43E-02	1
1	17	3.01E-02	1
1	17	1.13E-02	1
1	17	3.16E-02	1
1	17	2.93E-02	1
1	17	1.49E-02	1
1	17	2.69E-02	1
1	17	1.35E-02	1
1	17	1.04E-02	1
1	17	1.13E-01	1
1	18	2.11E-01	1
1	18	1.13E-02	1
1	18	4.73E-02	1
1	19	2.36E-02	1
1	19	1.33E-02	1
1	20	2.87E-02	1
1	20	1.91E-02	1
1	20	2.58E-02	1
1	20	1.91E-02	1
1	21	2.66E-02	1
1	21	6.94E-03	1
1	21	1.67E-01	1
1	21	1.78E-02	1
1	21	4.78E-02	1
1	21	9.83E-03	1
1	21	5.60E-03	1
1	21	1.33E-02	1
1	22	2.76E-02	1
1	22	3.09E-02	1
1	22	1.05E-02	1
1	22	1.46E-02	1
1	22	7.71E-03	1
1	23	1.45E-01	1
1	23	3.20E-02	1
1	23	1.43E-02	1
1	23	1.31E-02	1
1	23	1.41E-02	1
1	24	1.37E-01	1
1	24	7.02E-02	1
1	24	1.48E-02	1
1	24	2.30E-01	1
1	24	2.41E-01	1
1	25	2.09E-01	1
1	25	7.05E-02	1
1	25	7.32E-03	1
1	25	1.44E-02	1
1	25	2.23E-02	1
1	25	6.37E-03	1
1	26	1.04E-02	1
1	26	1.06E-02	1
1	27	1.89E-01	1
1	27	4.26E-02	1
1	27	1.32E-01	1
1	27	1.61E-02	1
1	30	1.98E-01	1
1	30	2.21E-01	1
1	31	8.08E-02	1
1	31	1.19E-02	1
1	31	7.90E-02	1
1	32	1.01E-01	1
1	32	7.33E-03	1
1	33	1.14E-01	1
1	33	9.83E-03	1
1	34	1.94E-01	1
1	34	2.88E-02	1
1	34	5.92E-02	1
1	34	2.27E-01	1
1	34	2.33E-01	1
1	34	9.14E-02	1
1	35	1.67E-02	1
1	35	3.18E-02	1
1	35	4.13E-02	1
1	35	9.61E-03	1
1	35	1.41E-02	1
1	35	1.50E-01	1
1	35	1.49E-02	1
1	35	1.57E-02	1
1	35	2.08E-01	1
1	35	1.42E-02	1
1	35	8.12E-02	1
1	35	2.58E-02	1
1	35	2.31E-02	1
1	35	9.03E-03	1
1	35	2.55E-02	1
1	36	2.13E-01	1
1	36	1.56E-01	1
1	36	3.78E-02	1
1	36	9.73E-03	1
1	36	1.94E-01	1
1	36	1.90E-02	1
1	36	1.45E-02	1
1	36	2.73E-02	1
1	36	2.42E-02	1
1	36	4.95E-02	1
1	36	1.76E-02	1
1	36	1.27E-02	1
1	36	1.39E-02	1
1	36	5.71E-03	1
1	37	7.67E-01	1
1	37	4.74E-01	1
1	37	6.08E-02	2
1	37	6.46E-02	2
1	37	1.65E-01	2
1	37	8.80E-03	2
1	37	9.26E-03	2
1	37	2.40E-02	2
1	37	1.25E-02	2
1	37	8.25E-03	2
1	37	5.18E-02	2
1	37	6.58E-03	2
1	37	7.00E-03	2
1	37	8.03E-03	2
1	37	8.37E-03	2
1	37	1.91E-02	2
1	37	1.71E-02	2
1	37	5.73E-03	2
1	37	8.06E-03	2
1	37	2.10E-02	2
1	37	4.17E-02	2
1	37	2.24E-02	2
1	37	5.01E-02	2
1	37	5.62E-02	2
1	37	9.07E-03	2
1	38	7.25E-02	1
1	38	8.16E-02	1
1	38	7.14E-02	1
1	38	1.08E-01	1
1	38	4.95E-02	1
1	38	1.04E-01	1
1	38	9.35E-03	1
1	38	5.70E-02	1
1	39	5.11E-02	1
1	39	1.28E-01	1
1	39	2.56E-02	1
1	39	7.61E-02	1
1	39	6.38E-02	1
1	39	5.20E-02	1
1	39	9.95E-03	1
1	39	8.72E-03	1
1	39	2.16E-02	1
1	39	5.41E-02	1
1	39	9.59E-02	1
1	39	1.11E-02	1
1	39	8.91E-03	1
1	39	2.08E-02	1
1	39	4.30E-02	1
1	39	1.60E-02	1
1	39	2.62E-02	1
1	39	1.67E-02	1
1	40	2.45E-01	1
1	40	1.75E-01	1
1	40	1.45E-01	1
1	40	2.81E-02	1
1	40	1.04E-01	1
1	40	1.98E-02	1
1	40	8.32E-03	1
1	40	1.68E-01	1
1	40	2.29E-02	1
1	40	7.73E-03	1
1	40	1.70E-02	1
1	40	1.12E-02	1
1	40	6.39E-03	1
1	40	8.86E-03	1
1	41	1.11E+00	1
1	41	2.08E-01	1
1	41	2.64E-01	1
1	41	2.16E-01	1
1	41	6.46E-02	2
1	41	8.35E-02	2
1	41	7.32E-02	2
1	41	3.60E-02	2
1	41	2.30E-02	2
1	41	2.54E-02	2
1	41	1.33E-02	2
1	41	2.41E-02	2
1	41	4.56E-03	2
1	41	1.18E-01	2
1	41	1.06E-02	2
1	41	1.38E-02	2
1	41	3.96E-02	2
1	41	1.37E-01	2
1	41	7.78E-03	2
