fishNumber	genus_species
1	Carcharias_taurus
2	Isurus_oxyrinchus
3	Alopias_pelagicus
4	Nebrius_ferrugineus
5	Stegostoma_fasciatum
6	Rhincodon_typus
7	Carcharhinus_albimarginatus
8	Carcharhinus_altimus
9	Carcharhinus_amblyrhynchos
10	Carcharhinus_brevipinna
11	Carcharhinus_falciformis
12	Carcharhinus_limbatus
13	Carcharhinus_longimanus
14	Carcharhinus_melanopterus
15	Carcharhinus_obscurus
16	Carcharhinus_plumbeus
17	Carcharhinus_sorrah
18	Galeocerdo_cuvier
19	Loxodon_macrorhinus
20	Negaprion_acutidens
21	Rhizoprionodon_acutus
22	Triaenodon_obesus
23	Iago_omanensis
24	Mustelus_mosis
25	Hemigaleus_microstoma
26	Hemipristis_elongata
27	Sphyrna_lewini
28	Sphyrna_mokarran
29	Anoxypristis_cuspidata
30	Pristis_zijsron
31	Heteronarce_bentuviai
32	Torpedo_panthera
33	Torpedo_sinuspersici
34	Torpedo_suessii
35	Glaucostegus_halavi
36	Glaucostegus_thouin
37	Rhinobatos_punctifer
38	Rhynchobatus_djiddensis
39	Rhina_ancylostoma
40	Himantura_fai
41	Himantura_gerrardi
42	Himantura_imbricata
43	Himantura_uarnak
44	Neotrygon_kuhlii
45	Pastinachus_sephen
46	Taeniura_lymma
47	Taeniura_meyeni
48	Urogymnus_asperrimus
49	Gymnura_poecilura
50	Aetobatus_narinari
51	Aetomylaeus_milvus
52	Manta_alfredi
53	Manta_birostris
54	Mobula_eregoodootenkee
55	Mobula_tarapacana
56	Mobula_thurstoni
57	Elops_machnata
58	Megalops_cyprinoides
59	Albula_glossodonta
60	Echidna_nebulosa
61	Echidna_polyzona
62	Enchelycore_bayeri
63	Enchelycore_schismatorhynchus
64	Gymnomuraena_zebra
65	Gymnothorax_angusticauda
66	Gymnothorax_atolli
67	Gymnothorax_baranesi
68	Gymnothorax_buroensis
69	Gymnothorax_elegans
70	Gymnothorax_favagineus
71	Gymnothorax_flavimarginatus
72	Gymnothorax_griseus
73	Gymnothorax_hepaticus
74	Gymnothorax_javanicus
75	Gymnothorax_johnsoni
76	Gymnothorax_moluccensis
77	Gymnothorax_nudivomer
78	Gymnothorax_pictus
79	Gymnothorax_pindae
80	Gymnothorax_pseudoherrei
81	Gymnothorax_punctatus
82	Gymnothorax_randalli
83	Gymnothorax_reticularis
84	Gymnothorax_rueppellii
85	Gymnothorax_undulatus
86	Muraena_helena
87	Strophidon_sathete
88	Uropterygius_concolor
89	Uropterygius_genie
90	Uropterygius_golanii
91	Uropterygius_macrocephalus
92	Uropterygius_micropterus
93	Uropterygius_nagoensis
94	Uropterygius_polyspilus
95	Congresox_talabonoides
96	Muraenesox_cinereus
97	Ariosoma_sanzoi
98	Conger_cinereus
99	Diploconger_polystigmatus
100	Rhynchoconger_trewavasae
101	Uroconger_erythraeus
102	Uroconger_lepturus
103	Gorgasia_sillneri
104	Heteroconger_balteatus
105	Facciolella_karreri
106	Facciolella_saurencheloides
107	Saurenchelys_meteori
108	Brachysomophis_cirrocheilos
109	Callechelys_catostoma
110	Callechelys_marmorata
111	Cirrhimuraena_playfairii
112	Myrichthys_colubrinus
113	Myrichthys_maculosus
114	Ophichthus_echeloides
115	Ophichthus_erabo
116	Phaenomonas_cooperae
117	Phyllophichthus_xenodontus
118	Pisodonophis_cancrivorus
119	Xestochilus_nebulosus
120	Yirrkala_tenuis
121	Muraenichthys_schultzei
122	Myrophis_microchir
123	Neenchelys_microtretus
124	Scolecenchelys_erythraeensis
125	Scolecenchelys_gymnota
126	Scolecenchelys_laticaudata
127	Skythrenchelys_lentiginosa
128	Dysomma_fuscoventralis
129	Amblygaster_sirm
130	Herklotsichthys_punctatus
131	Herklotsichthys_quadrimaculatus
132	Sardinella_albella
133	Sardinella_longiceps
134	Dussumieria_elopsoides
135	Etrumeus_teres
136	Spratelloides_delicatulus
137	Spratelloides_gracilis
138	Encrasicholina_heteroloba
139	Encrasicholina_punctifer
140	Engraulis_encrasicolus
141	Stolephorus_indicus
142	Thryssa_baelama
143	Chirocentrus_dorab
144	Chirocentrus_nudus
145	Maurolicus_mucronatus
146	Vinciguerria_mabahiss
147	Astronesthes_martensii
148	Stomias_affinis
149	Ateleopus_natalensis
150	Synodus_dermatogenys
151	Synodus_hoshinonis
152	Synodus_indicus
153	Synodus_randalli
154	Synodus_variegatus
155	Trachinocephalus_myops
156	Harpadon_erythraeus
157	Saurida_gracilis
158	Saurida_macrolepis
159	Saurida_tumbil
160	Lestidiops_jayakari
161	Lestrolepis_luetkeni
162	Benthosema_pterotum
163	Diaphus_coeruleus
164	Chanos_chanos
165	Netuma_thalassina
166	Plotosus_lineatus
167	Barchatus_cirrhosa
168	Lophiomus_setigerus
169	Antennarius_coccineus
170	Antennarius_commerson
171	Antennarius_nummifer
172	Antennarius_pictus
173	Antennarius_rosaceus
174	Antennarius_striatus
175	Histrio_histrio
176	Bregmaceros_arabicus
177	Physiculus_marisrubri
178	Brotula_multibarbata
179	Ophidion_smithi
180	Neobythites_stefanovi
181	Sirembo_jerdoni
182	Brosmophyciops_pautzkei
183	Dinematichthys_iluocoeteoides
184	Grammonus_robustus
185	Microbrotula_bentleyi
186	Carapus_mourlani
187	Encheliophis_gracilis
188	Encheliophis_homei
189	Cheilopogon_cyanopterus
190	Cypselurus_hexazona
191	Parexocoetus_brachypterus
192	Parexocoetus_mento
193	Euleptorhamphus_viridis
194	Hemiramphus_far
195	Hemiramphus_marginatus
196	Hyporhamphus_affinis
197	Hyporhamphus_balinensis
198	Hyporhamphus_gamberur
199	Oxyporhamphus_convexus
200	Ablennes_hians
201	Platybelone_argalus
202	Tylosurus_acus
203	Tylosurus_choram
204	Tylosurus_crocodilus
205	Aphanius_dispar
206	Atherinomorus_forskalii
207	Atherinomorus_lacunosus
208	Hypoatherina_temminckii
209	Hoplostethus_marisrubri
210	Monocentris_japonicus
211	Photoblepharon_steinitzi
212	Myripristis_chryseres
213	Myripristis_murdjan
214	Myripristis_xanthacra
215	Ostichthys_acanthorhinus
216	Ostichthys_hypsipterygion
217	Neoniphon_sammara
218	Sargocentron_caudimaculatum
219	Sargocentron_diadema
220	Sargocentron_ittodai
221	Sargocentron_macrosquamis
222	Sargocentron_marisrubri
223	Sargocentron_punctatissimum
224	Sargocentron_rubrum
225	Sargocentron_spiniferum
226	Fistularia_commersonii
227	Fistularia_petimba
228	Aeoliscus_punctulatus
229	Solenostomus_cyanopterus
230	Solenostomus_paradoxus
231	Acentronura_tentaculata
232	Bryx_analicarens
233	Choeroichthys_brachysoma
234	Corythoichthys_flavofasciatus
235	Corythoichthys_nigripectus
236	Corythoichthys_schultzi
237	Cosmocampus_banneri
238	Cosmocampus_maxweberi
239	Doryrhamphus_excisus
240	Dunckerocampus_boylei
241	Dunckerocampus_multiannulatus
242	Halicampus_dunckeri
243	Halicampus_macrorhynchus
244	Halicampus_mataafae
245	Hippichthys_cyanospilus
246	Hippichthys_spicifer
247	Kyonemichthys_rumengani
248	Lissocampus_bannwarthi
249	Micrognathus_andersonii
250	Micrognathus_brevirostris
251	Phoxocampus_belcheri
252	Siokunichthys_bentuviai
253	Siokunichthys_herrei
254	Syngnathoides_biaculeatus
255	Syngnathus_macrophthalmus
256	Syngnathus_safina
257	Trachyrhamphus_bicoarctatus
258	Trachyrhamphus_longirostris
259	Hippocampus_debelius
260	Hippocampus_fuscus
261	Hippocampus_jayakari
262	Hippocampus_suezensis
263	Neomerinthe_bathyperimensis
264	Parascorpaena_aurita
265	Scorpaenodes_albaiensis
266	Scorpaenodes_guamensis
267	Scorpaenodes_hirsutus
268	Scorpaenodes_parvipinnis
269	Scorpaenodes_steinitzi
270	Scorpaenopsis_barbata
271	Scorpaenopsis_diabolus
272	Scorpaenopsis_oxycephala
273	Scorpaenopsis_possi
274	Scorpaenopsis_vittapinna
275	Sebastapistes_cyanostigma
276	Sebastapistes_strongia
277	Brachypterois_serrulata
278	Dendrochirus_brachypterus
279	Dendrochirus_zebra
280	Pterois_miles
281	Pterois_radiata
282	Apistus_carinatus
283	Neocentropogon_mesedai
284	Minous_coccineus
285	Minous_monodactylus
286	Choridactylus_multibarbus
287	Inimicus_filamentosus
288	Synanceia_nana
289	Synanceia_verrucosa
290	Cocotropus_steinitzi
291	Ptarmus_gallus
292	Lepidotrigla_bispinosa
293	Lepidotrigla_spiloptera
294	Pterygotrigla_spirai
295	Cociella_punctata
296	Grammoplites_suppositus
297	Onigocia_bimaculata
298	Papilloculiceps_longiceps
299	Platycephalus_indicus
300	Rogadius_pristiger
301	Sorsogona_prionota
302	Thysanophrys_chiltonae
303	Liparis_fishelsoni
304	Dactyloptena_orientalis
305	Dactyloptena_peterseni
306	Eurypegasus_draconis
307	Ambassis_dussumieri
308	Ambassis_urotaenia
309	Chelidoperca_pleurospilus
310	Serranus_cabrilla
311	Aethaloperca_rogaa
312	Anyperodon_leucogrammicus
313	Cephalopholis_argus
314	Cephalopholis_hemistiktos
315	Cephalopholis_miniata
316	Cephalopholis_oligosticta
317	Cephalopholis_sexmaculata
318	Dermatolepis_striolata
319	Epinephelus_areolatus
320	Epinephelus_chlorostigma
321	Epinephelus_coioides
322	Epinephelus_epistictus
323	Epinephelus_fasciatus
324	Epinephelus_fuscoguttatus
325	Epinephelus_lanceolatus
326	Epinephelus_latifasciatus
327	Epinephelus_malabaricus
328	Epinephelus_morrhua
329	Epinephelus_polyphekadion
330	Epinephelus_radiatus
331	Epinephelus_stoliczkae
332	Epinephelus_summana
333	Epinephelus_tauvina
334	Epinephelus_tukula
335	Plectropomus_areolatus
336	Plectropomus_pessuliferus
337	Variola_louti
338	Liopropoma_lunulatum
339	Liopropoma_mitratum
340	Liopropoma_susumi
341	Aulacocephalus_temminckii
342	Diploprion_drachi
343	Grammistes_sexlineatus
344	Pseudogramma_megamyctera
345	Plectranthias_klausewitzi
346	Plectranthias_nanus
347	Plectranthias_winniensis
348	Pseudanthias_fasciatus
349	Pseudanthias_heemstrai
350	Pseudanthias_lunulatus
351	Pseudanthias_squamipinnis
352	Pseudanthias_taeniatus
353	Symphysanodon_disii
354	Dicentrarchus_labrax
355	Dicentrarchus_punctatus
356	Pseudochromis_dixurus
357	Pseudochromis_flavivertex
358	Pseudochromis_fridmani
359	Pseudochromis_nigrovittatus
360	Pseudochromis_olivaceus
361	Pseudochromis_pesi
362	Pseudochromis_sankeyi
363	Pseudochromis_springeri
364	Chlidichthys_auratus
365	Chlidichthys_rubiceps
366	Pectinochromis_lubbocki
367	Haliophis_guttatus
368	Plesiops_coeruleolineatus
369	Plesiops_mystaxus
370	Plesiops_nigricans
371	Calloplesiops_altivelis
372	Pelates_quadrilineatus
373	Terapon_jarbua
374	Terapon_puta
375	Terapon_theraps
376	Kuhlia_mugil
377	Priacanthus_blochii
378	Priacanthus_hamrur
379	Priacanthus_sagittarius
380	Pristigenys_niphonia
381	Apogon_campbelli
382	Apogon_coccineus
383	Apogon_erythrosoma
384	Apogon_semiornatus
385	Apogon_talboti
386	Apogonichthyoides_heptastygma
387	Apogonichthyoides_pharaonis
388	Apogonichthyoides_pseudotaeniatus
389	Apogonichthyoides_taeniatus
390	Apogonichthyoides_timorensis
391	Apogonichthys_perdix
392	Archamia_bilineata
393	Archamia_fucata
394	Archamia_lineolata
395	Cercamia_eremia
396	Cheilodipterus_arabicus
397	Cheilodipterus_lachneri
398	Cheilodipterus_macrodon
399	Cheilodipterus_novemstriatus
400	Cheilodipterus_pygmaios
401	Cheilodipterus_quinquelineatus
402	Foa_fo
403	Fowleria_aurita
404	Fowleria_isostigma
405	Fowleria_marmorata
406	Fowleria_vaiulae
407	Fowleria_variegata
408	Jaydia_queketti
409	Jaydia_smithi
410	Lepidamia_multitaeniata
411	Neamia_octospina
412	Nectamia_annularis
413	Nectamia_fusca
414	Nectamia_zebrinus
415	Ostorhinchus_apogonides
416	Ostorhinchus_bryx
417	Ostorhinchus_cookii
418	Ostorhinchus_cyanosoma
419	Ostorhinchus_fasciatus
420	Ostorhinchus_fleurieu
421	Ostorhinchus_gularis
422	Ostorhinchus_nigrofasciatus
423	Ostorhinchus_pselion
424	Ostorhinchus_spilurus
425	Pristiapogon_exostigma
426	Pristiapogon_fraenatus
427	Pristiapogon_kallopterus
428	Rhabdamia_cypselura
429	Rhabdamia_nigrimentum
430	Rhabdamia_spilota
431	Siphamia_permutata
432	Sphaeramia_orbicularis
433	Zapogon_isus
434	Zoramia_leptacantha
435	Gymnapogon_melanogaster
436	Pseudamia_gelatinosa
437	Epigonus_marisrubri
438	Sillago_sihama
439	Acropoma_japonicum
440	Synagrops_philippinensis
441	Hoplolatilus_geo
442	Hoplolatilus_oreni
443	Malacanthus_brevirostris
444	Malacanthus_latovittatus
445	Branchiostegus_sawakinensis
446	Rachycentron_canadum
447	Echeneis_naucrates
448	Remora_brachyptera
449	Remora_remora
450	Remorina_albescens
451	Alectis_ciliaris
452	Alectis_indica
453	Alepes_djedaba
454	Atule_mate
455	Carangoides_armatus
456	Carangoides_bajad
457	Carangoides_chrysophrys
458	Carangoides_coeruleopinnatus
459	Carangoides_equula
460	Carangoides_ferdau
461	Carangoides_fulvoguttatus
462	Carangoides_plagiotaenia
463	Caranx_heberi
464	Caranx_ignobilis
465	Caranx_melampygus
466	Caranx_sexfasciatus
467	Decapterus_macarellus
468	Decapterus_macrosoma
469	Decapterus_russelli
470	Elagatis_bipinnulata
471	Gnathanodon_speciosus
472	Megalaspis_cordyla
473	Naucrates_ductor
474	Scomberoides_commersonnianus
475	Scomberoides_lysan
476	Selar_crumenophthalmus
477	Seriola_dumerili
478	Seriolina_nigrofasciata
479	Trachinotus_baillonii
480	Trachinotus_blochii
481	Trachurus_indicus
482	Ulua_mentalis
483	Uraspis_helvola
484	Coryphaena_hippurus
485	Aurigequula_fasciata
486	Equulites_klunzingeri
487	Eubleekeria_splendens
488	Gazza_minuta
489	Leiognathus_equulus
490	Photopectoralis_bindus
491	Photoplagios_oblongus
