New Name	Number of larvae	Order	Family
13	1	Anguilliformes	Muraenidae
13	1	Pleuronectiformes	Bothidae
13	1	Aulopiformes	Synodontidae
13	1	Tetraodontiformes	Monacanthidae
13	1	Perciformes	Labridae
13	1	Lophiiformes	Antennariidae
14	1	Anguilliformes	UND
14	1	UND	UND
14	1	Perciformes	Apogonidae
15	1	Anguilliformes	Muraenidae
15	1	Perciformes	Acanthuridae
16	1	Anguilliformes	UND
16	1	Perciformes	Gobiidae
16	1	UND	UND
17	1	Anguilliformes	UND
17	1	Pleuronectiformes	Bothidae
17	4	Perciformes	Gobiidae
17	1	Tetraodontiformes	Monacanthidae
17	1	Perciformes	Labridae
17	2	Tetraodontiformes	Tetraodontidae
17	1	UND	UND
17	1	Scorpaeniformes	Scorpaenidae
17	2	Perciformes	Apogonidae
17	1	Perciformes	Callionymidae 
18	1	Anguilliformes	Muraenidae
18	1	Pleuronectiformes	Bothidae
18	1	Perciformes	Apogonidae
19	1	Perciformes	Apogonidae
19	1	UND	UND
20	1	Perciformes	Labridae
20	1	Perciformes	Gobiidae
20	1	Tetraodontiformes	Tetraodontidae
20	1	Stomiiformes	Stomiidae
21	1	Syngnathiformes	Syngnathidae 
21	2	UND	UND
21	1	Perciformes	Scaridae
21	1	Perciformes	Acanthuridae
21	1	Pleuronectiformes	Bothidae
21	1	UND	UND
21	1	UND	UND
22	1	Perciformes	Scaridae
22	3	Perciformes	Gobiidae
22	1	UND	UND
23	1	Pleuronectiformes	UND
23	1	Perciformes	Serranidae
23	1	Pleuronectiformes	Bothidae
23	1	Perciformes	Apogonidae
23	1	Perciformes	Apogonidae
24	3	Anguilliformes	Muraenidae
24	1	Perciformes	Scaridae
24	1	Perciformes	Gobiidae
25	1	Anguilliformes	UND
25	1	Perciformes	Serranidae
25	1	Tetraodontiformes	Monacanthidae
25	1	Perciformes	Scombridae
25	1	UND	UND
25	1	Perciformes	Apogonidae
26	1	Perciformes	Apogonidae
26	1	Perciformes	Scombridae
61	1	Tetraodontiformes	Monacanthidae
62	1	Pleuronectiformes	Bothidae
62	1	Perciformes	Labridae
27	1	Stomiiformes	UND
27	2	Anguilliformes	Muraenidae
27	1	Pleuronectiformes	Bothidae
28	1	Perciformes	Labridae
29	1	Anguilliformes	Ophichthidae
29	1	Perciformes	Serranidae
29	2	UND	UND
30	2	Beryciformes	Holocentridae 
31	2	Perciformes	Serranidae
31	1	UND	UND
32	1	Perciformes	Serranidae
32	1	UND	UND
33	1	Perciformes	Serranidae
33	1	UND	UND
34	1	Stomiiformes	Sternoptychidae
34	3	Perciformes	Labridae
34	1	Anguilliformes	Congridae
34	1	Lophiiformes	Antennariidae
35	1	Scorpaeniformes	Scorpaenidae
35	1	Aulopiformes	Synodontidae
35	1	Anguilliformes	UND
35	1	Perciformes	Labridae
35	2	Perciformes	Serranidae
35	4	UND	UND
35	4	Stomiiformes	Stomiidae
35	1	UND	UND
36	2	Perciformes	Scaridae
36	1	Stomiiformes	Stomiidae
36	1	Aulopiformes	Synodontidae
36	3	Perciformes	Labridae
36	1	Lophiiformes	Antennariidae
36	1	Perciformes	Serranidae
36	2	Perciformes	Gobiidae
36	3	UND	UND
37	1	Anguilliformes	Muraenidae
37	1	Pleuronectiformes	Bothidae
37	2	Perciformes	Labridae
37	1	Perciformes	Labridae
37	7	Perciformes	Serranidae
37	2	Scorpaeniformes	Scorpaenidae
37	1	Stomiiformes	Stomiidae
37	1	UND	UND
37	1	Syngnathiformes	Syngnathidae 
37	1	Syngnathiformes	UND
37	1	Lophiiformes	Tetraodontidae
37	2	UND	UND
37	3	UND	UND
37	1	UND	UND
38	2	Stomiiformes	Stomiidae
38	5	Perciformes	Serranidae
38	1	UND	UND
39	2	Anguilliformes	Congridae
39	1	Perciformes	Scaridae
39	1	Lophiiformes	Tetraodontidae
39	1	Perciformes	Gobiidae
39	1	Lophiiformes	Antennariidae
39	1	Stomiiformes	Stomiidae
39	1	Perciformes	Acropomatidae
39	1	UND	UND
39	1	UND	UND
39	1	UND	UND
39	1	Lophiiformes	Antennariidae
39	6	UND	UND
40	3	Perciformes	Labridae
40	1	Pleuronectiformes	Bothidae
40	1	Stomiiformes	Stomiidae
40	1	Aulopiformes	Paralepididae
40	7	UND	UND
40	1	Lophiiformes	Antennariidae
41	1	Anguilliformes	Ophichthidae
41	1	Aulopiformes	Paralepididae
41	1	Aulopiformes	Synodontidae
41	2	Perciformes	Scaridae
