sample	larvae
217	1
245	1
246	1
264	1
278	1
307	1
61	1
28	1
80	1
119	1
124	1
247	2
274	2
300	2
304	2
405	2
416	2
394	2
15	2
19	2
26	2
62	2
30	2
32	2
33	2
75	2
79	2
81	2
82	2
123	2
127	2
182	3
188	3
226	3
292	3
301	3
309	3
14	3
16	3
18	3
31	3
51	3
56	3
67	3
86	3
99	3
118	3
128	3
141	3
184	4
240	4
248	4
265	4
267	4
269	4
282	4
422	4
383	4
20	4
27	4
29	4
54	4
55	4
71	4
92	4
95	4
103	4
115	4
120	4
143	4
197	5
210	5
212	5
216	5
218	5
222	5
236	5
256	5
266	5
283	5
302	5
305	5
310	5
321	5
364	5
406	5
381	5
382	5
22	5
23	5
24	5
63	5
70	5
91	5
112	5
145	6
185	6
187	6
211	6
237	6
303	6
345	6
421	6
13	6
25	6
34	6
64	6
84	6
111	6
121	6
122	6
125	6
136	6
223	7
241	7
258	7
294	7
295	7
308	7
403	7
420	7
104	7
108	7
113	7
102	8
183	8
198	8
235	8
262	8
291	8
311	8
371	8
21	8
38	8
53	8
74	8
224	9
255	9
272	9
316	9
410	9
417	9
384	9
391	9
393	9
77	9
96	9
101	9
117	9
140	9
181	10
196	10
219	10
221	10
228	10
259	10
279	10
296	10
306	10
412	10
83	10
85	10
87	10
105	10
126	10
130	10
252	11
268	11
407	11
395	11
50	11
97	11
170	12
213	12
281	12
313	12
58	12
59	12
72	12
100	12
215	13
273	13
409	13
66	13
139	13
142	13
275	14
280	14
299	14
323	14
346	14
372	14
36	14
40	14
43	14
49	14
116	14
131	14
132	14
195	15
297	15
322	15
17	15
35	15
47	15
68	15
35	16
57	16
153	16
186	16
225	16
250	16
257	16
261	16
327	16
379	16
387	16
78	16
42	17
46	17
60	17
135	17
137	17
160	17
164	17
207	17
229	17
231	17
234	17
242	17
251	17
260	17
277	17
293	17
39	17
39	18
48	18
65	18
78	18
144	18
214	18
270	18
314	18
398	18
69	19
239	19
315	19
404	19
147	20
180	20
208	20
233	20
243	20
249	20
359	20
73	21
93	21
52	22
171	22
227	22
415	22
109	23
114	23
254	23
312	23
317	23
411	23
380	23
134	24
158	24
168	24
199	24
324	24
343	24
419	24
37	25
138	25
169	25
189	25
298	25
392	25
41	26
167	26
263	26
157	27
205	27
399	27
414	27
285	28
319	28
201	29
238	29
320	29
330	29
413	29
106	30
159	30
192	30
232	30
244	30
253	30
271	31
89	32
146	32
334	32
90	33
45	34
165	34
174	34
176	34
204	34
163	35
200	35
44	35
44	36
202	36
400	36
418	36
88	37
220	37
318	37
329	37
335	37
133	38
193	38
385	38
166	39
352	39
129	40
177	40
178	40
203	40
209	40
276	40
154	41
190	41
284	41
206	43
350B	43
98	44
161	45
179	45
191	45
326	45
370	45
155	46
333	46
408	46
336	48
390	48
396	48
175	49
194	49
328	49
331	49
332	49
338	50
351	50
378	50
389	50
152	51
365	52
369	53
349	55
397	55
339	56
402	57
162	58
173	58
110	60
148	61
347	61
156	63
337	65
357	66
350A	70
388	70
356	71
386	73
363	75
289	78
368	79
348	80
366	82
341	83
367	83
76	85
401	85
342	87
362	87
340	88
373	88
107	91
325	93
94	100
172	100
287	100
288	100
374	100
375	100
376	100
360	102
353	103
361	104
377	104
230	107
286	108
358	111
354	112
355	114
344	121
290	133
